EPS_PQ,EPS_Q3,net_income_Q3Q2,RSI_PQ,lowest_price
0.62,0.73,0.4134513274336283,61.49,-11.0
0.76,0.62,0.13121702274889716,69.0,-2.5
0.73,0.64,0.00035558716330340474,64.43,-6.5
1.3,1.68,0.17822987306555382,66.2,0.0
1.14,1.14,0.045784224841341786,65.84,0.0
1.7,1.08,0.046199524940617576,69.99,-4.5
1.38,1.14,0.4969917130207742,59.96,-3.0
1.4,1.38,0.09093463195354937,49.16,-1.0
1.46,1.51,0.07700231779551893,73.88,-1.0
1.82,1.4,0.04185267857142857,56.21,-5.5
2.03,1.46,0.24022495982860206,58.95,-6.0
2.03,1.82,0.11300655006118188,61.91,-2.0
2.17,2.03,0.0003880230226993468,72.87,0.0
0.16,-0.82,0.4188034188034188,46.57,-6.0
0.02,0.16,0.2657342657342657,49.14,-6.5
1.02,0.24,0.6222222222222222,54.21,-9.0
1.36,1.34,0.13735679495095013,59.88,-5.0
1.29,1.36,0.004704676025755085,56.03,-7.0
1.61,1.36,0.017935133350342945,51.75,-9.0
1.75,1.29,0.006251474404340646,66.23,-0.5
2.27,1.75,0.2527646129541864,67.2,-7.5
1.97,1.96,0.07313997477931904,78.52,-8.0
0.82,0.81,0.5437976716178242,65.8,-10.0
0.19,0.38,1.1205561422034496,57.33,-17.0
0.92,0.82,0.7730932027554154,53.2,-5.5
0.26,0.92,0.13177041228779304,35.9,-3.5
0.52,0.8,0.6725071948535636,54.02,-8.5
1.13,0.26,0.9113466011889376,73.52,0.0
1.18,0.52,1.2030155510480054,74.88,-5.5
0.62,1.13,0.04381479685476297,72.98,-4.0
0.84,1.18,0.4721524719054872,54.8,-7.0
0.34,-0.88,2.5615141955835963,38.97,-18.0
-0.2,-1.8,0.8626865671641791,61.67,0.0
0.32,-0.29,0.10869565217391304,66.28,-10.0
0.34,0.33,2.110732538330494,57.85,-18.0
0.42,1.04,0.6779846659364732,49.44,-2.5
0.46,0.34,0.2363945578231293,45.38,-1.0
0.6,0.46,0.4414634146341464,51.57,0.0
0.69,0.68,0.11505922165820642,63.08,-20.5
0.75,0.6,0.08795411089866156,45.22,-9.0
0.88,0.69,0.10456942003514938,64.12,-8.5
0.64,0.75,0.16706443914081145,68.72,0.0
0.82,0.88,0.2692569870483981,81.26,0.0
0.23,0.44,0.11716621253405995,36.5,-4.5
0.16,0.49,0.5398373983739837,51.71,-26.5
0.23,0.23,0.303886925795053,47.4,-16.0
0.36,0.16,0.4010152284263959,64.6,-4.0
0.38,0.23,0.6286231884057971,64.54,-24.0
0.37,0.36,0.057842046718576186,60.07,-5.0
0.25,0.38,0.035751840168243953,76.1,0.0
0.53,0.37,0.321701199563795,62.75,-8.0
0.58,0.25,1.1479099678456592,58.33,-11.5
0.76,0.53,0.09056886227544912,58.15,-11.5
-0.12,-2.03,0.8503060656649972,60.41,-9.0
0.21,0.5,1.0240174672489082,58.0,-6.2
0.48,1.0,0.785329018338727,66.24,-2.8
0.73,0.21,1.3266331658291457,52.18,-23.8
0.91,0.48,0.5593952483801296,51.63,-5.0
0.33,0.73,3.9196675900277014,48.87,-10.0
